Nom,Type de vin,Type de vin précision,Degré d'alcool,Brasserie,Pays,Prix,Fruité,Vivacité,Puissance,Epicé/boisé,Visuel,Odeur,Goût,Accompagnements,Description,Url
DOMAINE DE MONTGILET ANJOU GAMAY 2018,ROUGE,ANJOU GAMAY,12.0,DOMAINE DE MONTGILET,FRANCE,8.95,8,8,4,0,"Rouge cerise, reflets rosés","Framboise, poivre gris, sous-bois","Coulant, frais, facile","Viande blanche, Poisson, Barbecue, Tarte salée","Bien connu des amateurs de vins du Beaujolais, le gamay est un cépage importé dans le Val de Loire par la Comtesse Ida de Montebise, tout juste arrivée de Bourgogne en 1838. Il s'est tellement bien acclimaté que l'Anjou-Gamay est devenu une appellation à part entière !
Une cuvée gourmande, qui reflète bien l'aromatique du gamay : la framboise, la fraise. Un véritable bol de fruits en bouche. Souple et frais, c'est le vin parfait pour les pique niques ou les repas en terrasse. Il pourra aussi bien accompagner les poissons, les viandes blanches, les quiches ou les tartes salées.",https://vandb.fr/domaine-de-montgilet-anjou-gamay-2018.html
CHÂTEAU DUPLESSIS MOULIS EN MÉDOC ROUGE 2015,ROUGE,MOULIS EN MÉDOC,13.5,CHÂTEAU DUPLESSIS,FRANCE,28.2,6,6,8,6,"Rouge grenat, reflets violets","Baies noires, notes poivrée, toasté","Intense, rond, tanins fermes",,"Moulis en Médoc est l'une des appellations communales du Médoc. Moins connue que sa voisine Margaux, elle arbore un terroir de graves et un climat différent de celui des appellations du bord de l'estuaire. Un petit bout de terroir complètement unique !
Le Château Duplessis possède une histoire riche, propriété du neveu du cardinal de Richelieu, il a été acquis par la famille Lurton dans les années 90 avant d'être repris par Philippe Ferrier en 2015. Cet homme d'affaires revend alors son entreprise dans le BTP pour concrétiser son rêve de posséder son propre domaine viticole, n'ayant pas pu reprendre le domaine familial. Ce passionné de vin entreprend alors une rénovation complète de son domaine. Il acquiert le statut de cru bourgeois la même année.
Ce millésime 2015 est le premier réalisé sous la direction de Philippe Ferrier et on peut dire que c'est un succès! Ce domaine peu connu nous offre un très joli vin, intense et avec une belle rondeur, ses tanins fermes laisse entrevoir un beau potentiel, mais ne gène pas la dégustation dès maintenant, au contraire. Avec un premier millésime si prometteur, on ne peut qu'avoir hâte de découvrir la suite.",https://vandb.fr/chateau-duplessis-moulis-en-medoc-rouge-2015.html
DOMAINE MUCYN LES CARATS SAINT-JOSEPH BLANC 2017,BLANC,SAINT JOSEPH,13.0,DOMAINE MUCYN,FRANCE,25.3,8,4,8,2,"Jaune or pâle, reflets dorés","Fruits secs, abricot confits, floral","Opulent, pulpeux, long","Poisson, Fromage de chèvre, Viande blanche, Fromage à pate molle","Saint-Joseph est une région viticole longiligne, qui s'étend sur une cinquantaine de kilomètres le long de la rive droite du Rhône. Situé dans la partie septentrionale de la Vallée du Rhône, on a plus l'habitude de grands vins rouges de Saint-Joseph que de ses vins blancs puissants et racés.
Le Domaine Mucyn est la propriété de deux anciens champenois qui ont rapporté ici une certaine vision du vin. Leurs parcelles sur Saint-Joseph ont un climat assez particulier, entre continental et méditerranéen qui contribue à l'unicité de leurs vins.
Ces carats sont un joyau des vins blancs de la Vallée du Rhône. Sa robe couleur or pale est typique du cépage utilisé pour cette cuvée, la Roussane. On y retrouve une légère touche boisée élégante, apportée par le passage en barrique de 20% des raisins. D'abord typé plus méridionale, ce vin blanc se dévoile ensuite sur la puissance et la complexité.",https://vandb.fr/domaine-mucyn-les-carats-saint-joseph-blanc-2017.html
DOMAINE DU PAS SAINT MARTIN LES MILLE ROCS BLANC 2014,BLANC,ANJOU,12.5,LE PAS SAINT MARTIN,FRANCE,14.7,6,8,8,6,"Jaune paille, reflets dorés","Cire d'abeille, toasté,","Puissant, minéral, boisé","Viande blanche, Apéro, Poisson, Fromages","Le Pas Saint Martin est un domaine conduit par Laurent Charrier et converti au bio depuis 1994. Les Milles Rocs est une parcelle de Chenin, initialement dédiée à la production de Coteaux-du-Layon, un vin doux de Loire. Mais il fut décidé en 2012 de vinifier ce cépage comme un Anjou blanc sec. Un test qui porta ses fruits puisqu'ainsi, le chenin put exprimer une autre facette de sa personnalité. Très aromatique, un passage en fut de 24 mois vient lui apporter de l'ampleur et de l'élégance.
Les arômes de gelée de poire, de cire d'abeille, sont rafraîchis par un léger côté minéral, qui rappelle le nom Milles Rocs. En bouche, le vin est puissant, bien équilibré et rond, il sera idéal sur un poisson de rivière, comme un sandre au beurre blanc.",https://vandb.fr/domaine-du-pas-saint-martin-les-mille-rocs-blanc-2014.html
PLAIMONT MOONSENG ROUGE 2018,ROUGE,CÔTES DE GASCOGNE,12.0,PLAIMONT,FRANCE,6.7,8,6,4,0,"Rouge pourpre, reflets violines","Fruits noirs, humus, poivrons","Coulant, frais, juteux","Viande rouge, Charcuterie, Barbecue, Salade de saison","Les vignerons de Plaimont n'ont qu'une philosophie, faire accepter leur régions comme elle est. Avec cette cuvée ils visent la Lune et explore un nouvel univers, celui des cépages autochtones oubliés. Cela s'inscrit dans l'ADN même de cette coopérative, remettre au gout du jour des cépages régionaux anciens, grâce notamment à un travail de recherche avec leur propre conservatoire vivant de vignes.
Ce Moonseng, allie donc ce cépage gersois au merlot pour un vin tout en souplesse et fraîcheur. Une belle surprise, une découverte qui devrait plaire, avec une complexité aromatique qui va titiller les plus fins connaisseurs.",https://vandb.fr/plaimont-moonseng-rouge-2018.html
MICHEL LYNCH RÉSERVE MÉDOC 2016,ROUGE,MÉDOC,13.0,DOMAINE JEAN MICHEL CAZES,FRANCE,13.8,6,6,6,6,"Rouge grenat dense, reflets rosés","Cassis, épices, finement boisé","Dense, suave, boisé",,"L'AOC Médoc est une appellation générale de la rive gauche bordelaise, elle regroupe les 52 communes de cette partie du vignoble bordelais. Cette région est dominée par le cabernet sauvignon, là où la rive droite privilégie le Merlot.
La gamme Michel Lynch fût créée par les vignobles JM Cazes pour rendre hommage à ce personnage important de l'histoire du bordelais. Cette gamme a été créée afin de transmettre l'image de ce qui se fait de mieux, avec une sélection des meilleurs terroirs et grappes.
Ce Médoc est un assemblage des deux cépages rois de Bordeaux, le Cabernet Sauvignon et le Merlot. On y retrouve la classe bordelaise, un boisé élégant et un fruit généreux en bouche.",https://vandb.fr/michel-lynch-reserve-medoc-2016.html
LE BRUN DE NEUVILLE BLANC DE BLANCS EXTRA BRUT,EFFERVESCENT BLANC,CHAMPAGNE,12.0,LE BRUN DE NEUVILLE,FRANCE,29.9,6,10,6,0,"Jaune citron, reflets vert pâle","Noisette fraîche, iodé, acacia","Crémeux, crayeux, pur","Viande blanche, Crustacés, Fruits de mer, Poisson","Brut, extra-brut, brut nature... Pas toujours facile de s'y retrouver dans toutes ces dénominations. En réalité, il s'agit d'un dosage de sucre, mais pour comprendre, il faut s'intéresser à la manière dont est fait le Champagne.
Le vigneron va produire un vin blanc sans bulles, qu'il va mettre en bouteille avec un mélange de levures afin d'activer la fermentation et donc la prise de mousse. Après quelques temps, la magie opère et le vin devient le fameux Champagne ! Mais il faut enlever les levures mortes restées dans la bouteille. Pour compenser ce volume en moins dans la bouteille, le vigneron ajoute une liqueur, plus ou moins sucrée selon le type de Champagne que l'on souhaite obtenir. Pour un brut, il y a entre 7 g et 12 g de sucre par lires et pour un extra-brut, entre 0 et 6g/L.
Le Brun de Neuville blanc de blanc extra brut possède 3,5 g de sucres par litre. Un style tendu et épuré qui appelle une cuisine délicate. Ses arômes de réglisse, de noisette fraîche, de craie et de citron seront parfaits en accompagnement de fruits de mer, d'huîtres ou d'un filet de poisson blanc.",https://vandb.fr/le-brun-de-neuville-blanc-de-blancs-extra-brut.html
CHÂTEAU OLIVIER ARTHUS D'OLIVEY ROUGE 2014,ROUGE,PESSAC LÉOGNAN,14.0,CHÂTEAU OLIVIER,FRANCE,18.1,6,6,6,4,"Rouge pourpre intense, reflets orangés","Fruits rouges concentrés, épicé, toasté","Rond, tanins élégants, charmeur",,"Pessac-Léognan à la particularité d'être implanté au contact direct de l'agglomération bordelaise. Cette ""petite jeune"" de la région bordelaise, reconnue en 1987, possède tout de même de sacrés arguments: son terroir, ses châteaux reconnus, avec tous les grands crus classés de Graves, dont le célèbre Château Haut-Brion.
Le Château Olivier est un domaine qui entoure le château du même nom. La bâtisse est à l'image du domaine, remarquable. Appartenant à la même famille depuis le XIX° siècle, ce vignoble a été classé en 1953.
Cette cuvée Arthus d'Olivey rend hommage à la personne éponyme qui a donné au Château Olivier son apparence et son lustre actuel. Ce vin est à l'image du personnage, un vin haut en couleur, singulier avec une majorité de merlot pour la gourmandise où le cabernet sauvignon vient apporter une touche de fraîcheur. En bouche un bel équilibre et une structure souple font place à une belle finale sur la fraîcheur.",https://vandb.fr/chateau-olivier-arthus-d-olivey-rouge-2014.html
CLOS ROUSSELY L'ESCALE BLANC 2018,BLANC,TOURAINE,12.5,CLOS DE ROUSSELY,FRANCE,9.2,8,8,4,0,"Jaune pâle, reflets verts","Pêche blanche, agrumes frais, pamplemousse","Frais, expressif, croquant","Fruits de mer, Poisson, Apéro, Salade de saison","Vincent Roussely a à coeur de prendre soin de sa vigne et de ses vins. Issu de la 4ème génération à reprendre le vignoble, il n’utilise ni pesticides, ni herbicides, ni molécules chimiques et l’essentiel des vendanges se fait manuellement. Le jus est ensuite mis à vinifier dans des caves troglodytes, où le temps fera son ouvrage et non la chimie.
Ce blanc, fait exclusivement en cépage Sauvignon, est une alternative plus abordable mais très qualitative à un Sancerre Blanc ou un Pouilly Fumé. Compagnon de la convivialité et du partage, il se mariera avec vos apéritifs, entrées froides et plateaux de fruits de mer.",https://vandb.fr/clos-roussely-l-escale-blanc-2018.html
CHÂTEAU JOANNA CÔTES DE BOURG 2017,ROUGE,CÔTES DE BOURG,13.0,CHÂTEAU JOANNA,FRANCE,7.1,6,6,4,0,"Robe violet foncé, reflets rosé","Mûre sauvage, réglisse, épices","Frais, harmonieux, gourmand","Viande rouge, Barbecue, Burger, Ribs","""La petite Suisse girondine"", voilà le surnom de cette appellation de Côtes de Bourg. Située le long de l'estuaire, sur la rive droite de Bordeaux, cette appellation fait face à la prestigieuse Margaux.
Le Château Joanna est avant tout une belle histoire de famille, son nom est d'ailleurs celui de l'arrière grand-mère des propriétaires actuels. Ce domaine qui, à l'origine n'était composé que de quelques parcelles de vignes, est maintenant une jolie propriété de 15 Ha.
Le millésime 2017 fut un millésime difficile pour la plupart des vignobles en France, mais c'est dans ces conditions difficiles que le vigneron fait preuve de son talent, pour faire d'une année compliquée, un millésime très qualitatif.
Ce vin possède un profil moderne du bordelais. Le merlot, majoritaire sur cette rive et dans cet assemblage pour la gourmandise, et le cabernet franc pour la fraîcheur. On conserve ici le fruit et la typicité des cépages grâce à un élevage qui ne vient pas boiser inutilement le vin. Il conviendra à tous les palais.",https://vandb.fr/chateau-joanna-cotes-de-bourg-2017.html
CHÂTEAU PEYMARTIN SAINT-JULIEN ROUGE 2015,ROUGE,SAINT JULIEN,13.5,CHÂTEAU PEYMARTIN,FRANCE,28.9,6,6,6,4,"Rouge profond, reflets orangés","Cassis, vanille, tabac","Souple, charnu, tanins fondus",,"Saint-Julien jouxte Pauillac est l'une des jolies appellations communales de la rive gauche bordelaise.
Ce vin nous vient des domaines Henri Martin, un vignoble de plus de 100 Ha dans la partie médocaine du bordelais. Ces domaines regroupent des châteaux principalement sur cette appellation Saint-Julien, ce qui leur confère un savoir-faire et une belle connaissance de ces terroirs. Ce domaine est maintenant dirigé par Françoise la fille du fondateur Henri Martin et Jean-Louis Triaud, son mari, président du club des Girondins de Bordeaux pendant plus de 20 ans.
Ce Château Peymartin est une cuvée élégante, avec un potentiel de garde intéressant, n'hésitez pas à faire patienter ce vin rouge en cave quelques années.",https://vandb.fr/chateau-peymartin-saint-julien-rouge-2015.html
RIVERLORE MARLBOROUGH BLANC 2018,BLANC,SANS IG,13.0,WAIRAU RIVER WINES LIMITED,NOUVELLE-ZÉLANDE,10.7,10,8,4,0,"Jaune pâle, reflets verts","Fruits de la passion, herbe coupée, agrumes","Friand, croquant, frais","Poisson, Fruits de mer, Apéro, Huitres","Petit vignoble, aux antipodes de la France, la Nouvelle-Zélande a commencé à produire du vin au début du 19ème siècle. On y retrouve généralement les mêmes conditions climatiques que dans l'hexagone, mais avec une influence marine bien plus importante. La Nouvelle-Zélande est scindée en deux îles : celle du Nord ou l'on retrouve 80% du vignoble et celle du Sud, plus petite qui abrite l'emblématique région de Marlborough, célèbre pour ses incroyables vins blancs.
Il n'en va pas toujours ainsi, les grandes plaines de Marlborough, terres agricoles pauvres, ne valaient presque rien avant de révéler, en l'espace de 40 ans, un grand terroir viticole. Les amplitudes thermiques importantes entre le jour et la nuit permettent au sauvignon de dévoiler ses arômes intenses. Riverlore blanc est une cuvée très aromatique, très fraîche, qui rappelle nos sauvignons ligériens avec une pointe d'exotisme en plus.",https://vandb.fr/riverlore-marlborough-blanc-2018.html
DOMAINE LAFAGE AUTHENTIQUE ROUGE 2016,ROUGE,CÔTES DU ROUSSILLON,14.5,DOMAINE LAFAGE,FRANCE,9.9,6,4,6,0,"Rouge pourpre, reflets rosés","Cassis, réglisse, tapenade","Doucereux, ensoleillé, suave","Viande rouge, Agneau, Viande blanche, Burger","Le domaine Lafage est l'un des vignobles phare du Roussillon. Un parfait mélange entre tradition et savoir-faire viticole et cette pointe de folie propre à Jean-Marc Lafage, vigneron globe-trotter et visionnaire. Cet Amoureux de sa région, accompagné de sa femme, a cette volonté farouche de montrer tout le champ des possibilités de ses vignes. Ces cuvées hors du commun ont fait la renommée du domaine Lafage.
Cette cuvée Authentique est réalisée pour nous prouver que ce vignoble connait et maîtrise aussi à la perfection ses basiques. C'est un vin de tout ce qu'il y a de plus typique de la région : équilibre, souplesse, chaleur tout en restant gourmand. C'est aussi une sorte de caméléon que vous nous proposons, c'est un vin qui, en plus de séduire tous les palais, s'accordera avec bon nombre de vos plats.
Une authentique réussite !",https://vandb.fr/domaine-lafage-authentique-rouge-2016.html
